K,N,M,kernel,n_sub,k_splits,use_hip
6144,2304,1,gemv,0,0,1
6144,2304,2,gemv,0,0,1
6144,2304,4,gemv,0,0,1
6144,2304,8,mfma,1,8,1
6144,2304,16,mfma,1,8,1
6144,2304,32,mfma,2,8,1
6144,2304,64,mfma,2,8,1
2048,6144,1,gemv,0,0,1
2048,6144,2,gemv,0,0,1
2048,6144,4,gemv,0,0,1
2048,6144,8,mfma,1,1,1
2048,6144,16,mfma,1,1,1
2048,6144,32,mfma,1,1,1
2048,6144,64,mfma,2,1,1
6144,1536,1,gemv,0,0,1
6144,1536,2,gemv,0,0,1
6144,1536,4,gemv,0,0,1
6144,1536,8,mfma,1,2,1
6144,1536,16,mfma,1,8,1
6144,1536,32,mfma,2,8,1
6144,1536,64,mfma,2,4,1
1536,6144,1,gemv,0,0,1
1536,6144,2,gemv,0,0,1
1536,6144,4,gemv,0,0,1
1536,6144,8,mfma,1,1,1
1536,6144,16,mfma,1,1,1
1536,6144,32,mfma,1,1,1
1536,6144,64,mfma,2,1,1
6144,1152,1,gemv,0,0,1
6144,1152,2,gemv,0,0,1
6144,1152,4,gemv,0,0,1
6144,1152,8,mfma,1,2,1
6144,1152,16,mfma,1,2,1
6144,1152,32,mfma,1,8,1
6144,1152,64,mfma,2,8,1
6144,768,1,gemv,0,0,1
6144,768,2,gemv,0,0,1
6144,768,4,gemv,0,0,1
6144,768,8,mfma,1,2,1
6144,768,16,mfma,1,2,1
6144,768,32,mfma,1,2,1
6144,768,64,mfma,1,8,1
1024,6144,1,gemv,0,0,1
1024,6144,2,gemv,0,0,1
1024,6144,4,gemv,0,0,1
1024,6144,8,mfma,1,1,1
1024,6144,16,mfma,2,1,1
1024,6144,32,mfma,1,1,1
1024,6144,64,mfma,2,1,1
768,6144,1,gemv,0,0,1
768,6144,2,gemv,0,0,1
768,6144,4,gemv,0,0,1
768,6144,8,mfma,1,1,1
768,6144,16,mfma,2,1,1
768,6144,32,mfma,2,1,1
768,6144,64,mfma,2,1,1
6144,9216,1,gemv,0,0,1
6144,9216,2,gemv,0,0,1
6144,9216,4,gemv,0,0,1
6144,9216,8,mfma,1,4,1
6144,9216,16,mfma,2,8,1
6144,9216,32,mfma,2,4,1
6144,9216,64,mfma,2,8,0
6144,6144,1,gemv,0,0,1
6144,6144,2,gemv,0,0,1
6144,6144,4,gemv,0,0,1
6144,6144,8,mfma,1,4,1
6144,6144,16,mfma,2,8,1
6144,6144,32,mfma,2,8,1
6144,6144,64,mfma,2,1,1
8192,6144,1,gemv,0,0,1
8192,6144,2,gemv,0,0,1
8192,6144,4,gemv,0,0,1
8192,6144,8,mfma,1,4,1
8192,6144,16,mfma,2,8,1
8192,6144,32,mfma,2,4,1
8192,6144,64,mfma,2,1,1
6144,4608,1,gemv,0,0,1
6144,4608,2,gemv,0,0,1
6144,4608,4,gemv,0,0,1
6144,4608,8,mfma,1,8,1
6144,4608,16,mfma,2,8,1
6144,4608,32,mfma,2,8,1
6144,4608,64,mfma,2,4,1
6144,3072,1,gemv,0,0,1
6144,3072,2,gemv,0,0,1
6144,3072,4,gemv,0,0,1
6144,3072,8,mfma,1,8,1
6144,3072,16,mfma,1,4,1
6144,3072,32,mfma,2,4,1
6144,3072,64,mfma,2,2,1
4096,6144,1,gemv,0,0,1
4096,6144,2,gemv,0,0,1
4096,6144,4,gemv,0,0,1
4096,6144,8,mfma,1,4,1
4096,6144,16,mfma,2,8,1
4096,6144,32,mfma,2,4,1
4096,6144,64,mfma,2,1,0
3072,6144,1,gemv,0,0,1
3072,6144,2,gemv,0,0,1
3072,6144,4,gemv,0,0,1
3072,6144,8,mfma,1,1,1
3072,6144,16,mfma,1,2,1
3072,6144,32,mfma,1,1,1
3072,6144,64,mfma,2,1,0
